"","NAME","CONTRACT_START","CONTRACT_END","AVG_SALARY","AGE","GP","WR","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","MARGIN","sum"
"35","James Johnson",2014,2015,2500000,27,52,0.634615384615385,18.3846153846154,7.38461538461539,2.75,5.92307692307692,46.4,0.423076923076923,1.67307692307692,25.3,1.46153846153846,1.73076923076923,84.4,1.15384615384615,2.03846153846154,3.19230769230769,2.13461538461538,1.26923076923077,0.807692307692308,1.09615384615385,1.96153846153846,1.84615384615385,NA
"37","John Wall",2014,2018,16284036.4,23,82,0.536585365853659,36.3414634146341,19.3048780487805,7.0609756097561,16.3048780487805,43.3,1.31707317073171,3.75609756097561,35.1,3.86585365853659,4.80487804878049,80.5,0.463414634146341,3.59756097560976,4.0609756097561,8.79268292682927,3.59756097560976,1.81707317073171,0.48780487804878,2.67073170731707,2.39024390243902,NA
"38","Tyson Chandler",2011,2014,13852362.75,28,74,0.72972972972973,27.8243243243243,10.1081081081081,3.59459459459459,5.5,65.4,0,0,0,2.91891891891892,3.98648648648649,73.2,2.78378378378378,6.56756756756757,9.35135135135135,0.432432432432432,1.18918918918919,0.486486486486487,1.08108108108108,3.24324324324324,3.98648648648649,NA
"39","Matthew Dellavedova",2016,2019,9607500,25,76,0.710526315789474,24.5657894736842,7.48684210526316,2.72368421052632,6.72368421052632,40.5,1.28947368421053,3.14473684210526,41,0.75,0.868421052631579,86.4,0.434210526315789,1.69736842105263,2.13157894736842,4.43421052631579,1.52631578947368,0.578947368421053,0.118421052631579,2.34210526315789,5.01315789473684,NA
"40","Avery Bradley",2014,2017,8e+06,23,60,0.316666666666667,30.9166666666667,14.85,6.01666666666667,13.75,43.8,1.31666666666667,3.33333333333333,39.5,1.5,1.86666666666667,80.4,0.8,2.96666666666667,3.76666666666667,1.41666666666667,1.6,1.05,0.183333333333333,2.41666666666667,-2.11666666666667,NA
"41","Will Barton",2015,2017,3533333,24,58,0.517241379310345,16.9655172413793,6.8448275862069,2.58620689655172,6.08620689655172,42.5,0.396551724137931,1.46551724137931,27.1,1.27586206896552,1.62068965517241,78.7,0.448275862068966,2.3448275862069,2.79310344827586,1.39655172413793,1.05172413793103,0.827586206896552,0.327586206896552,1.20689655172414,-0.5,NA
"42","Cory Joseph",2015,2018,7472500,23,79,0.670886075949367,18.2784810126582,6.77215189873418,2.62025316455696,5.20253164556962,50.4,0.20253164556962,0.556962025316456,36.4,1.32911392405063,1.81012658227848,73.4,0.556962025316456,1.87341772151899,2.43037974683544,2.37974683544304,0.848101265822785,0.582278481012658,0.215189873417722,1.32911392405063,2.18987341772152,NA
"43","Jonas Valanciunas",2016,2019,15595506,24,60,0.666666666666667,25.95,12.8,5.05,8.93333333333333,56.5,0,0,0,2.7,3.55,76.1,3.06666666666667,6.05,9.11666666666667,0.7,1.41666666666667,0.416666666666667,1.33333333333333,2.63333333333333,2.45,NA
"44","Paul George",2014,2018,20132140,24,80,0.675,36.225,21.7125,7.2125,17.025,42.4,2.275,6.25,36.4,5.0125,5.8,86.4,0.8,5.975,6.775,3.5375,2.8,1.8875,0.275,2.475,4.6375,NA
"45","Quinn Cook",2017,2018,867391.5,24,14,0.642857142857143,13.3571428571429,5.64285714285714,2.35714285714286,4.71428571428571,50,0.785714285714286,1.85714285714286,42.3,0.142857142857143,0.357142857142857,40,0.0714285714285714,0.428571428571429,0.5,1.85714285714286,0.928571428571429,0.285714285714286,0,0.928571428571429,-2.92857142857143,NA
